2008-Sep-19
YYYY|MM|DD|MJD|ROLL|VIS|ROLL_TOL|PITCH|PITCH_TYPE
2010| 08|25|55433.85|107.11|0.77|7.33|138.08|Good
2010| 08|27|55436.49|106.59|0.77|7.78|140.61|Good
2010| 08|30|55439.14|106.00|0.77|7.78|143.13|Good
2010| 09|02|55441.78|105.35|0.77|8.70|145.66|Good
2010| 09|04|55444.42|104.60|0.77|8.70|148.19|Good
2010| 09|07|55447.07|103.73|0.77|9.98|150.72|Good
2010| 09|10|55449.71|102.72|0.77|11.02|153.24|Good
2010| 09|12|55452.36|101.51|0.77|11.02|155.76|Good
2010| 09|15|55455.00|100.04|0.77|12.79|158.27|PLINE
2010| 09|18|55457.65|98.19|0.77|14.63|160.78|PLINE
2010| 09|20|55460.29|95.83|0.77|17.15|163.25|PLINE
2010| 09|23|55462.94|92.67|0.77|17.15|165.70|PLINE
2010| 09|26|55465.58|88.25|0.77|20.00|168.09|PLINE
2010| 09|28|55468.22|81.70|0.77|20.00|170.38|Forbidden
2010| 10|01|55470.87|71.31|0.77|20.00|172.48|Forbidden
2010| 10|04|55473.51|54.05|0.77|20.00|174.17|Forbidden
2010| 10|06|55476.16|27.59|0.77|20.00|175.00|Forbidden
2010| 10|09|55478.80|359.01|0.77|20.00|174.56|Forbidden
2010| 10|11|55481.44|338.69|0.77|20.00|173.09|Forbidden
2010| 10|14|55484.09|326.42|0.77|20.00|171.07|Forbidden
2010| 10|17|55486.73|318.83|0.77|20.00|168.80|PLINE
2010| 10|19|55489.38|313.83|0.77|20.00|166.40|PLINE
2010| 10|22|55492.02|310.32|0.77|17.15|163.93|PLINE
2010| 10|25|55494.67|307.72|0.77|14.63|161.41|PLINE
2010| 10|27|55497.31|305.73|0.77|12.79|158.87|PLINE
2010| 10|30|55499.95|304.15|0.77|11.02|156.29|PLINE
2010| 11|02|55502.60|302.86|0.77|11.02|153.71|Good
2010| 11|04|55505.24|301.78|0.77|9.98|151.11|Good
2010| 11|07|55507.88|300.87|0.77|8.70|148.49|Good
2010| 11|10|55510.53|300.08|0.77|8.70|145.87|Good
2010| 11|12|55513.17|299.39|0.77|7.78|143.24|Good
2010| 11|15|55515.82|298.78|0.77|7.78|140.60|Good
2010| 11|17|55518.46|298.24|0.77|7.33|137.96|Good
2010| 11|20|55521.11|297.75|0.77|7.78|135.32|Good
2010| 11|23|55523.75|297.30|0.77|7.78|132.66|EPHIN
2010| 11|25|55526.40|296.88|0.77|8.50|130.01|EPHIN
2010| 11|28|55529.04|296.50|0.77|8.50|127.35|EPHIN
2010| 12|01|55531.68|296.15|0.77|9.60|124.68|EPHIN
2010| 12|03|55534.33|295.81|0.77|9.60|122.02|EPHIN
2010| 12|06|55536.97|295.50|0.77|10.04|119.35|EPHIN
2010| 12|09|55539.62|295.20|0.77|10.04|116.67|EPHIN
2010| 12|11|55542.26|294.91|0.77|10.04|114.00|EPHIN
2010| 12|14|55544.91|294.64|0.77|10.04|111.32|EPHIN
2010| 12|17|55547.55|294.37|0.77|10.04|108.64|EPHIN
2010| 12|19|55550.20|294.11|0.77|10.04|105.96|EPHIN
2010| 12|22|55552.84|293.86|0.77|10.04|103.28|EPHIN
2010| 12|24|55555.49|293.62|0.77|10.04|100.60|EPHIN
2010| 12|27|55558.13|293.38|0.77|10.04|97.91|EPHIN
START BPITCH
55234.25|55243.44|PSMC
55338.64|55347.62|PSMC
55230.28|55234.25|Good
55347.62|55351.82|Good
55195.84|55230.28|EPHIN
55351.82|55430.63|EPHIN
55521.42|55558.13|EPHIN
55430.63|55452.61|Good
55500.25|55521.42|Good
55452.61|55467.78|PLINE
55485.34|55500.25|PLINE
55467.78|55485.34|Forbidden
END BPITCH
